repository,status,leaver,tfdd_date,tfdd_commit,tfValue
technoweenie/restful-authentication,Non-surviving,TECHNOWEENIE,01/01/2008 00:00,1a50c0479e77c202372b441b0f4935d35bbf1f2f,2
tenex/rails-assets,Non-surviving,TYMON TOBOLSKI,20/01/2016 00:00,a296cdc49fb552214cd5049c723abd1bff02d34d,2
tenex/rails-assets,Non-surviving,ADAM STANKIEWICZ,18/01/2016 00:00,ed597065fa0c0e175925bb0f5ee9075017918717,2
test-kitchen/test-kitchen,Non-surviving,FLETCHER NICHOL,08/12/2015 00:00,0ba6f2116d8dd2b65396b4e352236106b922b918,1
thephpleague/oauth2-client,Surviving,TOM ANDERSON,29/04/2014 00:00,4a138df1f1eebbc3994739eef247fc8103bc6282,4
thephpleague/oauth2-client,Surviving,JILDERT MIEDEMA,03/12/2014 00:00,9d6aa586760dcc75d38577c663600c0177eb0615,4
thephpleague/oauth2-client,Surviving,ALEX BILBIE,31/08/2014 00:00,47d94477cf2155bf8da03b63ff3c1b0276a6c736,4
thephpleague/oauth2-client,Surviving,DANIEL HORRIGAN,29/01/2013 00:00,5636c66fc29f907a6c994c4aeea5adecbb4cefdb,4
thoughtbot/high_voltage,Non-surviving,MATT JANKOWSKI,14/04/2015 00:00,a8798a66bdc9ce9ccee247a901432df85e4256a0,4
thoughtbot/high_voltage,Non-surviving,HARLOW WARD,25/07/2014 00:00,218aae165acf03bc998034cdaa2cbffb6efb656b,4
thoughtbot/high_voltage,Non-surviving,JEREMY SMITH,13/06/2015 00:00,f2819122a3d1c42bb05222cc8cececa70e407e18,4
thoughtbot/high_voltage,Non-surviving,MIKE BURNS,26/09/2012 00:00,8494e51b59ea3b73405401a268ce206a440cfeeb,4
thoughtbot/paperclip,Non-surviving,JON YUREK AND NATHAN WALLS,20/11/2015 00:00,2c6aa8ac4192e8480275df0413ef34038d383fc1,1
thoughtbot/shoulda,Non-surviving,JOE FERRIS,17/07/2012 00:00,10edfe8b279dac761bc606b8be5a117b8fbdc20b,2
thoughtbot/shoulda,Non-surviving,TSALEH,01/05/2008 00:00,7b7c11859bb146517d5e638f01da02423900fd0d,2
thoughtbot/shoulda-matchers,Surviving,JOE FERRIS,14/09/2012 00:00,fde078da0274f69e6deb8f4cfebe6af54d6906d2,2
thoughtbot/shoulda-matchers,Surviving,GABE BERKE-WILLIAMS,28/02/2013 00:00,9d86a462718de24ed0577d4b35f314c475d73dec,2
tj/commander.js,Surviving,TJ HOLOWAYCHUK,07/05/2014 00:00,93e9dc6e55e5a5aff6097187e0449c9d1e108240,1
tj/luna,Non-surviving,TJ HOLOWAYCHUK,05/02/2014 00:00,56d2bb2eaa43472a3d777727d1d671fc0e075c40,1
tmuxinator/tmuxinator,Non-surviving,CHRISTOPHER CHOW,10/11/2015 00:00,f938953d0e9bdcbcc041c288d1b29d01767317ff,1
toland/qlmarkdown,Surviving,JONATHAN MITCHELL,26/01/2012 00:00,974eef15eda3deaa44d0db514a8ddaac8a3e8603,1
troessner/reek,Surviving,KEVIN RUTHERFORD,17/10/2011 00:00,462e2bc0d4645222370b1aa8eeda4c484ad187e3,1
trulia/hologram,Non-surviving,GEOFF PLEISS,16/01/2015 00:00,6a71a81a0d31a14e96024cdc5c750e7ac6b17ca0,2
trulia/hologram,Non-surviving,JOHNY,24/04/2014 00:00,5635ed36d184a261363707e8345b06be889a937d,2
twilio/twilio-php,Surviving,NEUMAN,11/08/2011 00:00,3c95aec2801cc32b696dfb7adae4a6f0f9570bdb,1
typekit/webfontloader,Surviving,RYAN CARVER,05/01/2011 00:00,2e160183022132f4bc6fec6cb2507e5b70fea1bc,1
typhoeus/typhoeus,Surviving,PAUL DIX,03/05/2010 00:00,7440e709e87a0b0fd38ed2d24b14c0c1f128697d,2
typhoeus/typhoeus,Surviving,DAVID BALATERO,17/11/2011 00:00,1c1d46067481c7466e8721f7777fdd5db6089e82,2
unbit/uwsgi,Surviving,ROBERTO@SIRIUS,01/10/2012 00:00,248741a81f1e995d18ff81554848f39b56357881,3
unbit/uwsgi,Surviving,ROBERTO@DEBIAN32,04/05/2012 00:00,08c6258459d39ac4cd21277b4f39c64a8b41904d,3
unbit/uwsgi,Surviving,ROBERTO@PRECISE64,30/05/2012 00:00,9f0228601820c9a820eda43cc13c098e2b9eab08,3
ushahidi/Ushahidi_Web,Non-surviving,DAVID KOBIA,28/11/2012 00:00,d3a9c628638069c02a733074c1a6bb7159edf913,2
ushahidi/Ushahidi_Web,Non-surviving,ROBBIE MACKAY,07/04/2014 00:00,c05509aad4261598c5a38d861d37371442a01f24,2
ValveSoftware/source-sdk-2013,Non-surviving,JOE LUDWIG,12/06/2014 00:00,56accfdb9c4abd32ae1dc26b2e4cc87898cf4dc1,2
ValveSoftware/source-sdk-2013,Non-surviving,JØRGEN P. TJERNØ,10/12/2013 00:00,9c37fcc3a8769d2d9d483cea774ddd6a3896ff22,2
vcr/vcr,Non-surviving,MYRON MARSTON,22/12/2014 00:00,b12cc072dbe93125714ff205247e9bfebf65eb4a,1
VerbalExpressions/JSVerbalExpressions,Surviving,OLEG SELETSKY,27/12/2013 00:00,41872519435a741355e4d83722eb5b2d1c098c51,1
VerbalExpressions/PHPVerbalExpressions,Non-surviving,SIGNPOSTMARV,15/01/2016 00:00,09c58bb741b955a3ad3c11eb44d16fcf1311c183,3
VerbalExpressions/PHPVerbalExpressions,Non-surviving,FRANK STELZER,16/08/2013 00:00,58110de881016a6b4c48ceb261c47b837bc94f4c,3
VerbalExpressions/PHPVerbalExpressions,Non-surviving,DAVID GREMINGER,13/08/2013 00:00,8746a62f78a8bd33d206d0020ffa2418acac562a,3
videojs/video.js,Surviving,STEVE HEFFERNAN,09/10/2015 00:00,e58c2266de3325c30412c2dcd1ce8096d980b63e,2
videojs/video.js,Surviving,MATTHEW MCCLURE,10/12/2015 00:00,4cb14eb420270db1b136e3c85726b2a3376d64ee,2
visionmedia/superagent,Surviving,TJ HOLOWAYCHUK,06/03/2014 00:00,0cbb118415f9cd26090ac5626652b89ab6d66fbd,1
vitalets/x-editable,Non-surviving,VITALETS,12/03/2015 00:00,8a6ad079bbbfb51683e75094c2aca8f2aafd2e02,1
VitaliyRodnenko/geeknote,Non-surviving,STEPLER,17/07/2012 00:00,854e15392d35fec46567e5c52cca019c5f04e105,2
VitaliyRodnenko/geeknote,Non-surviving,D1FFUZ0R,11/08/2012 00:00,1469e31e531e4262de123def40f81aeecf60be0d,2
websockets/ws,Non-surviving,EINAROS,16/07/2013 00:00,1969850f8a446ed4e97e31fdc30d8ad7ebf00943,1
welaika/wordless,Non-surviving,STEFANO VERNA,12/06/2013 00:00,60b0b991811303abe8b1baf99af011d29cee1d00,1
welaika/wordmove,Non-surviving,FABRIZIO MONTI,08/04/2016 00:00,05d196275de2ecb2d229c3ae26365c91e9af00ae,2
welaika/wordmove,Non-surviving,STEFANO VERNA,23/06/2013 00:00,af365fa4e31a245e55c8b93b7ae66610ecbfb65a,2
wkhtmltopdf/wkhtmltopdf,Non-surviving,JAKOB TRUELSEN,20/02/2014 00:00,51036e686401251dbf550b3f884fb2f02d84c8d1,1
WordPress-Coding-Standards/WordPress-Coding-Standards,Surviving,AKEDA BAGUS,28/03/2013 00:00,336d1eb4583ab51c470f13d270cd231ea09a8914,1
WordPress/WordPress,Surviving,RYAN,09/08/2012 00:00,d28687551563453b06b4042c4bcc9b7ecffd37c4,3
WordPress/WordPress,Surviving,NACIN,08/08/2012 00:00,f02bacd9f1646fe27c44f0623bfa5b80a396a849,3
WordPress/WordPress,Surviving,AZAOZZ,08/08/2012 00:00,cbc9aabfa4f8b71022987872c32f774d566f53fe,3
wp-cli/wp-cli,Surviving,SCRIBU,17/08/2015 00:00,2c894e975ae55f6d2d815f2d57ae6cab78962ffc,1
yeoman/generator-angular,Non-surviving,BRIAN FORD,13/08/2013 00:00,fef13c59ee505d469164e1f8a8a19ad5c68b5e5e,3
yeoman/generator-angular,Non-surviving,MICKAEL DANIEL,26/01/2013 00:00,4eea5db516a3933c3995f0cb0ecdca48911666e0,3
yeoman/generator-angular,Non-surviving,ANDREW KIMPTON,24/07/2015 00:00,e579df9d5d2133300f9fe0c3686bc9efbbb5260e,3
yiisoft/yii,Non-surviving,QIANG XUE,14/02/2015 00:00,ee39b8511c6c821f2e8863655d92151cc4931448,1
yui/yuicompressor,Non-surviving,STOYAN STEFANOV,03/11/2010 00:00,d36d4470ff786aadc2e70a36e689882d0bce4cc0,3
yui/yuicompressor,Non-surviving,JULIEN LECOMTE,07/12/2009 00:00,9251317a100d4b169726bd88aa48719d1f379c42,3
yui/yuicompressor,Non-surviving,SATYEN DESAI,28/09/2011 00:00,6e2bc23f1056ea07fc78846b6938b7ce85abb276,3
yusuke/twitter4j,Surviving,YUSUKE,27/02/2010 00:00,3a99d268d67d75987db23d608cc7e9bd74a904f7,1
z3t0/Arduino-IRremote,Non-surviving,BLUECHIP,01/07/2015 00:00,ec5e1bd5f97bbf691c3dd7de33a73da4ea03e7f5,1
zendframework/ZendSkeletonApplication,Surviving,EVAN COURY,02/04/2013 00:00,41b86489ddd5f93babfea1ee2b6d413ebdb9dd73,1
zeromq/libzmq,Surviving,MARTIN SUSTRIK,19/12/2011 00:00,6f32361fea61619fec94348de693a9e3ff8981e0,1
ZipArchive/ZipArchive,Surviving,DOUGLAS BUMBY,12/07/2015 00:00,90efaf41c74326f79553bb8d00040c3d41157168,1
zurb/foundation-sites,Non-surviving,GEOFF KIMBALL,31/03/2016 00:00,6b2666da2e96f99aec191490e36152a66b88f35b,1
zxing/zxing,Non-surviving,SROWEN,14/01/2014 00:00,800fee3472706b90abd93744d14b357c9055817a,1
